"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
5.063160946E1	5.030221840E1	7.614043728E0	1.139340577E2	1.099999994E-1	0.000000000E0	1.050000000E1	1.000000000E2
5.164178804E1	5.030219078E1	7.614054121E0	1.159340324E2	3.400000036E-1	0.000000000E0	1.050000000E1	1.000000000E2
5.266071323E1	5.030212482E1	7.614145065E0	1.179339651E2	5.500000119E-1	2.650000000E2	1.050000000E1	1.000000000E2
5.299397154E1	5.030220264E1	7.614049762E0	9.693404326E1	1.499999911E-1	2.651000061E2	8.500000000E0	1.000000000E2
5.462011738E1	5.030218454E1	7.614049511E0	1.009340273E2	1.499999911E-1	2.650000000E2	4.000000000E0	1.000000000E2
5.561293050E1	5.030218470E1	7.614050517E0	1.009340274E2	0.000000000E0	0.000000000E0	4.000000000E0	1.000000000E2
5.662639200E1	5.030218470E1	7.614050517E0	1.009340274E2	0.000000000E0	0.000000000E0	4.000000000E0	1.000000000E2
5.760089992E1	5.030218701E1	7.614058480E0	9.793402861E1	7.099999785E-1	2.288000031E2	3.500000000E0	1.000000000E2
5.860014761E1	5.030216991E1	7.614069125E0	9.393401247E1	2.059999943E0	2.331000061E2	3.000000000E0	1.000000000E2
5.959806965E1	5.030214619E1	7.614054540E0	9.393399307E1	3.319999933E0	2.311999969E2	2.500000000E0	1.000000000E2
6.060333738E1	5.030212322E1	7.614020761E0	9.293397627E1	4.099999905E0	2.486000061E2	2.500000000E0	1.000000000E2
6.161764980E1	5.030211191E1	7.613950521E0	9.193397343E1	5.879999638E0	2.725000000E2	2.500000000E0	1.000000000E2
6.261474761E1	5.030212536E1	7.613863768E0	9.093399407E1	6.739999771E0	2.842999878E2	2.000000000E0	1.000000000E2
6.360887326E1	5.030215457E1	7.613762096E0	8.993403010E1	8.970000267E0	3.003999939E2	2.000000000E0	1.000000000E2
6.460706672E1	5.030219317E1	7.613655897E0	8.893407486E1	8.970000267E0	2.980000000E2	2.000000000E0	1.000000000E2
6.561829568E1	5.030222842E1	7.613538131E0	8.693411784E1	1.009000015E1	2.932000122E2	1.500000000E0	1.000000000E2
6.662908560E1	5.030225570E1	7.613406032E0	8.593415527E1	1.025000000E1	2.827000122E2	1.500000000E0	1.000000000E2
6.762501968E1	5.030226257E1	7.613255745E0	8.593417656E1	1.071000004E1	2.715000000E2	1.500000000E0	1.000000000E2
6.862051645E1	5.030225972E1	7.613108391E0	8.493418900E1	1.044999981E1	2.685000000E2	1.500000000E0	1.000000000E2
6.962139226E1	5.030225239E1	7.612956343E0	8.493419796E1	1.011999989E1	2.685000000E2	1.500000000E0	1.000000000E2
7.064482060E1	5.030224795E1	7.612813767E0	8.593420850E1	9.239999771E0	2.727999878E2	1.500000000E0	1.000000000E2
7.157768095E1	5.030225670E1	7.612684267E0	8.593422935E1	8.960000038E0	2.793999939E2	1.500000000E0	1.000000000E2
7.261439948E1	5.030229040E1	7.612569099E0	8.593427072E1	8.849999428E0	2.947000122E2	1.500000000E0	1.000000000E2
7.362121045E1	5.030234731E1	7.612470193E0	8.593433089E1	9.719999313E0	3.170000000E2	1.500000000E0	1.000000000E2
7.461786818E1	5.030241529E1	7.612377573E0	8.593440017E1	1.126999950E1	3.222000122E2	1.500000000E0	1.000000000E2
7.561463925E1	5.030249676E1	7.612266932E0	8.593448318E1	1.513999939E1	3.181000061E2	2.000000000E0	1.000000000E2
7.662476214E1	5.030260246E1	7.612124523E0	8.693459075E1	1.664999962E1	3.205000000E2	1.500000000E0	1.000000000E2
7.761916633E1	5.030273866E1	7.611978259E0	8.793472561E1	2.068999863E1	3.272000122E2	1.500000000E0	1.000000000E2
7.864896702E1	5.030290555E1	7.611800479E0	8.693489071E1	2.360999870E1	3.265000000E2	1.500000000E0	1.000000000E2
7.960687725E1	5.030306426E1	7.611621693E0	8.693504873E1	2.036999893E1	3.257999878E2	2.000000000E0	1.000000000E2
8.061975725E1	5.030321111E1	7.611460425E0	8.693519454E1	1.909000015E1	3.267999878E2	2.000000000E0	1.000000000E2
8.163821225E1	5.030334530E1	7.611313993E0	8.893532769E1	1.846999931E1	3.275000000E2	1.500000000E0	1.000000000E2
8.263057486E1	5.030348080E1	7.611179296E0	8.993546080E1	1.871999931E1	3.277999878E2	1.500000000E0	1.000000000E2
