"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1696782325.127	"2023-10-08 18:25:25.127 UTC+02:00"
"PAUSE"	2.449770377E2	1696782570.104	"2023-10-08 18:29:30.104 UTC+02:00"
